,ts_code,name,market,symbol
153,000571.SZ,ST大洲,主板,000571
154,000572.SZ,海马汽车,主板,000572
155,000573.SZ,粤宏远A,主板,000573
156,000576.SZ,甘化科工,主板,000576
157,000581.SZ,威孚高科,主板,000581
158,000582.SZ,北部湾港,主板,000582
159,000584.SZ,ST工智,主板,000584
160,000586.SZ,汇源通信,主板,000586
161,000589.SZ,贵州轮胎,主板,000589
162,000590.SZ,启迪药业,主板,000590
163,000591.SZ,太阳能,主板,000591
164,000592.SZ,平潭发展,主板,000592
165,000593.SZ,德龙汇能,主板,000593
166,000595.SZ,宝塔实业,主板,000595
167,000596.SZ,古井贡酒,主板,000596
168,000597.SZ,东北制药,主板,000597
169,000598.SZ,兴蓉环境,主板,000598
170,000599.SZ,青岛双星,主板,000599
171,000600.SZ,建投能源,主板,000600
172,000601.SZ,韶能股份,主板,000601
173,000603.SZ,盛达资源,主板,000603
174,000605.SZ,渤海股份,主板,000605
175,000606.SZ,顺利退,主板,000606
176,000607.SZ,华媒控股,主板,000607
177,000608.SZ,阳光股份,主板,000608
178,000609.SZ,中迪投资,主板,000609
179,000610.SZ,西安旅游,主板,000610
180,000612.SZ,焦作万方,主板,000612
181,000615.SZ,*ST美谷,主板,000615
182,000616.SZ,*ST海投,主板,000616
183,000617.SZ,中油资本,主板,000617
184,000619.SZ,海螺新材,主板,000619
185,000620.SZ,*ST新联,主板,000620
186,000622.SZ,恒立实业,主板,000622
187,000623.SZ,吉林敖东,主板,000623
188,000625.SZ,长安汽车,主板,000625
189,000626.SZ,远大控股,主板,000626
190,000627.SZ,天茂集团,主板,000627
191,000628.SZ,高新发展,主板,000628
192,000629.SZ,钒钛股份,主板,000629
193,000630.SZ,铜陵有色,主板,000630
194,000631.SZ,顺发恒业,主板,000631
195,000632.SZ,三木集团,主板,000632
196,000633.SZ,合金投资,主板,000633
197,000635.SZ,英力特,主板,000635
198,000636.SZ,风华高科,主板,000636
199,000637.SZ,ST实华,主板,000637
200,000638.SZ,万方发展,主板,000638
201,000639.SZ,西王食品,主板,000639
202,000650.SZ,仁和药业,主板,000650
203,000651.SZ,格力电器,主板,000651
204,000652.SZ,泰达股份,主板,000652
205,000655.SZ,金岭矿业,主板,000655
206,000656.SZ,金科股份,主板,000656
207,000657.SZ,中钨高新,主板,000657
208,000659.SZ,珠海中富,主板,000659
209,000661.SZ,长春高新,主板,000661
210,000663.SZ,永安林业,主板,000663
211,000665.SZ,湖北广电,主板,000665
212,000666.SZ,经纬纺机,主板,000666
213,000667.SZ,ST美置,主板,000667
214,000668.SZ,荣丰控股,主板,000668
215,000669.SZ,ST金鸿,主板,000669
216,000670.SZ,盈方微,主板,000670
217,000671.SZ,ST阳光城,主板,000671
218,000672.SZ,上峰水泥,主板,000672
219,000676.SZ,智度股份,主板,000676
220,000677.SZ,恒天海龙,主板,000677
221,000678.SZ,襄阳轴承,主板,000678
222,000679.SZ,大连友谊,主板,000679
223,000680.SZ,山推股份,主板,000680
224,000681.SZ,视觉中国,主板,000681
225,000682.SZ,东方电子,主板,000682
226,000683.SZ,远兴能源,主板,000683
227,000685.SZ,中山公用,主板,000685
228,000686.SZ,东北证券,主板,000686
229,000688.SZ,国城矿业,主板,000688
230,000690.SZ,宝新能源,主板,000690
231,000691.SZ,亚太实业,主板,000691
232,000692.SZ,*ST惠天,主板,000692
233,000695.SZ,滨海能源,主板,000695
234,000697.SZ,*ST炼石,主板,000697
235,000698.SZ,沈阳化工,主板,000698
236,000700.SZ,模塑科技,主板,000700
237,000701.SZ,厦门信达,主板,000701
238,000702.SZ,正虹科技,主板,000702
239,000703.SZ,恒逸石化,主板,000703
240,000705.SZ,浙江震元,主板,000705
241,000707.SZ,双环科技,主板,000707
242,000708.SZ,中信特钢,主板,000708
243,000709.SZ,河钢股份,主板,000709
244,000710.SZ,贝瑞基因,主板,000710
245,000711.SZ,*ST京蓝,主板,000711
246,000712.SZ,锦龙股份,主板,000712
247,000713.SZ,丰乐种业,主板,000713
248,000715.SZ,中兴商业,主板,000715
249,000716.SZ,黑芝麻,主板,000716
250,000717.SZ,中南股份,主板,000717
251,000718.SZ,苏宁环球,主板,000718
252,000719.SZ,中原传媒,主板,000719
253,000720.SZ,新能泰山,主板,000720
254,000721.SZ,西安饮食,主板,000721
255,000722.SZ,湖南发展,主板,000722
256,000723.SZ,美锦能源,主板,000723
257,000725.SZ,京东方A,主板,000725
258,000726.SZ,鲁泰A,主板,000726
259,000727.SZ,冠捷科技,主板,000727
260,000728.SZ,国元证券,主板,000728
261,000729.SZ,燕京啤酒,主板,000729
262,000731.SZ,四川美丰,主板,000731
263,000732.SZ,ST泰禾,主板,000732
264,000733.SZ,振华科技,主板,000733
265,000735.SZ,罗牛山,主板,000735
266,000736.SZ,中交地产,主板,000736
267,000737.SZ,北方铜业,主板,000737
268,000738.SZ,航发控制,主板,000738
269,000739.SZ,普洛药业,主板,000739
270,000750.SZ,国海证券,主板,000750
271,000751.SZ,锌业股份,主板,000751
272,000752.SZ,*ST西发,主板,000752
273,000753.SZ,漳州发展,主板,000753
274,000755.SZ,山西路桥,主板,000755
275,000756.SZ,新华制药,主板,000756
276,000757.SZ,浩物股份,主板,000757
277,000758.SZ,中色股份,主板,000758
278,000759.SZ,中百集团,主板,000759
279,000761.SZ,本钢板材,主板,000761
280,000762.SZ,西藏矿业,主板,000762
281,000766.SZ,通化金马,主板,000766
282,000767.SZ,晋控电力,主板,000767
283,000768.SZ,中航西飞,主板,000768
284,000776.SZ,广发证券,主板,000776
285,000777.SZ,中核科技,主板,000777
286,000778.SZ,新兴铸管,主板,000778
287,000779.SZ,甘咨询,主板,000779
288,000782.SZ,美达股份,主板,000782
289,000783.SZ,长江证券,主板,000783
290,000785.SZ,居然之家,主板,000785
291,000786.SZ,北新建材,主板,000786
292,000788.SZ,北大医药,主板,000788
293,000789.SZ,万年青,主板,000789
294,000790.SZ,华神科技,主板,000790
295,000791.SZ,甘肃能源,主板,000791
296,000792.SZ,盐湖股份,主板,000792
297,000793.SZ,华闻集团,主板,000793
298,000795.SZ,英洛华,主板,000795
299,000796.SZ,*ST凯撒,主板,000796
300,000797.SZ,中国武夷,主板,000797
301,000798.SZ,中水渔业,主板,000798
302,000799.SZ,酒鬼酒,主板,000799
303,000800.SZ,一汽解放,主板,000800
304,000801.SZ,四川九洲,主板,000801
305,000802.SZ,北京文化,主板,000802
306,000803.SZ,山高环能,主板,000803
307,000806.SZ,银河退,主板,000806
308,000807.SZ,云铝股份,主板,000807
309,000809.SZ,铁岭新城,主板,000809
310,000810.SZ,创维数字,主板,000810
311,000811.SZ,冰轮环境,主板,000811
312,000812.SZ,陕西金叶,主板,000812
313,000813.SZ,德展健康,主板,000813
314,000815.SZ,美利云,主板,000815
315,000816.SZ,智慧农业,主板,000816
316,000818.SZ,航锦科技,主板,000818
317,000819.SZ,岳阳兴长,主板,000819
318,000820.SZ,神雾节能,主板,000820
319,000821.SZ,京山轻机,主板,000821
320,000822.SZ,山东海化,主板,000822
321,000823.SZ,超声电子,主板,000823
322,000825.SZ,太钢不锈,主板,000825
323,000826.SZ,启迪环境,主板,000826
324,000828.SZ,东莞控股,主板,000828
325,000829.SZ,天音控股,主板,000829
326,000830.SZ,鲁西化工,主板,000830
327,000831.SZ,中国稀土,主板,000831
328,000833.SZ,粤桂股份,主板,000833
329,000836.SZ,富通信息,主板,000836
330,000837.SZ,秦川机床,主板,000837
331,000838.SZ,财信发展,主板,000838
332,000839.SZ,ST国安,主板,000839
333,000848.SZ,承德露露,主板,000848
334,000850.SZ,华茂股份,主板,000850
335,000851.SZ,高鸿股份,主板,000851
336,000852.SZ,石化机械,主板,000852
337,000856.SZ,冀东装备,主板,000856
338,000858.SZ,五粮液,主板,000858
339,000859.SZ,国风新材,主板,000859
340,000860.SZ,顺鑫农业,主板,000860
341,000861.SZ,海印股份,主板,000861
342,000862.SZ,银星能源,主板,000862
343,000863.SZ,三湘印象,主板,000863
344,000868.SZ,安凯客车,主板,000868
345,000869.SZ,张裕A,主板,000869
346,000875.SZ,吉电股份,主板,000875
347,000876.SZ,新希望,主板,000876
348,000877.SZ,天山股份,主板,000877
349,000878.SZ,云南铜业,主板,000878
350,000880.SZ,潍柴重机,主板,000880
351,000881.SZ,中广核技,主板,000881
352,000882.SZ,华联股份,主板,000882
353,000883.SZ,湖北能源,主板,000883
354,000885.SZ,城发环境,主板,000885
355,000886.SZ,海南高速,主板,000886
356,000887.SZ,中鼎股份,主板,000887
357,000888.SZ,峨眉山A,主板,000888
358,000889.SZ,ST中嘉,主板,000889
359,000890.SZ,法尔胜,主板,000890
360,000892.SZ,欢瑞世纪,主板,000892
361,000893.SZ,亚钾国际,主板,000893
362,000895.SZ,双汇发展,主板,000895
363,000897.SZ,津滨发展,主板,000897
364,000898.SZ,鞍钢股份,主板,000898
365,000899.SZ,赣能股份,主板,000899
366,000900.SZ,现代投资,主板,000900
367,000901.SZ,航天科技,主板,000901
368,000902.SZ,新洋丰,主板,000902
369,000903.SZ,云内动力,主板,000903
370,000905.SZ,厦门港务,主板,000905
371,000906.SZ,浙商中拓,主板,000906
372,000908.SZ,景峰医药,主板,000908
373,000909.SZ,ST数源,主板,000909
374,000910.SZ,大亚圣象,主板,000910
375,000911.SZ,南宁糖业,主板,000911
376,000912.SZ,泸天化,主板,000912
377,000913.SZ,钱江摩托,主板,000913
378,000915.SZ,华特达因,主板,000915
379,000917.SZ,电广传媒,主板,000917
380,000918.SZ,*ST嘉凯,主板,000918
381,000919.SZ,金陵药业,主板,000919
382,000920.SZ,沃顿科技,主板,000920
383,000921.SZ,海信家电,主板,000921
384,000922.SZ,佳电股份,主板,000922
385,000923.SZ,河钢资源,主板,000923
386,000925.SZ,众合科技,主板,000925
387,000926.SZ,福星股份,主板,000926
388,000927.SZ,中国铁物,主板,000927
389,000928.SZ,中钢国际,主板,000928
390,000929.SZ,兰州黄河,主板,000929
391,000930.SZ,中粮科技,主板,000930
392,000931.SZ,中关村,主板,000931
393,000932.SZ,华菱钢铁,主板,000932
394,000933.SZ,神火股份,主板,000933
395,000935.SZ,四川双马,主板,000935
396,000936.SZ,华西股份,主板,000936
397,000937.SZ,冀中能源,主板,000937
398,000938.SZ,紫光股份,主板,000938
399,000948.SZ,南天信息,主板,000948
400,000949.SZ,新乡化纤,主板,000949
401,000950.SZ,重药控股,主板,000950
402,000951.SZ,中国重汽,主板,000951
403,000952.SZ,广济药业,主板,000952
404,000953.SZ,河化股份,主板,000953
405,000955.SZ,欣龙控股,主板,000955
406,000957.SZ,中通客车,主板,000957
407,000958.SZ,电投产融,主板,000958
408,000959.SZ,首钢股份,主板,000959
409,000960.SZ,锡业股份,主板,000960
410,000961.SZ,中南建设,主板,000961
411,000962.SZ,东方钽业,主板,000962
412,000963.SZ,华东医药,主板,000963
413,000965.SZ,天保基建,主板,000965
414,000966.SZ,长源电力,主板,000966
415,000967.SZ,盈峰环境,主板,000967
416,000968.SZ,蓝焰控股,主板,000968
417,000969.SZ,安泰科技,主板,000969
418,000970.SZ,中科三环,主板,000970
419,000971.SZ,ST高升,主板,000971
420,000972.SZ,中基健康,主板,000972
421,000973.SZ,佛塑科技,主板,000973
422,000975.SZ,银泰黄金,主板,000975
423,000976.SZ,ST华铁,主板,000976
424,000977.SZ,浪潮信息,主板,000977
425,000978.SZ,桂林旅游,主板,000978
426,000980.SZ,众泰汽车,主板,000980
427,000981.SZ,山子股份,主板,000981
428,000982.SZ,中银绒业,主板,000982
429,000983.SZ,山西焦煤,主板,000983
430,000985.SZ,大庆华科,主板,000985
431,000987.SZ,越秀资本,主板,000987
432,000988.SZ,华工科技,主板,000988
433,000989.SZ,九芝堂,主板,000989
434,000990.SZ,诚志股份,主板,000990
435,000993.SZ,闽东电力,主板,000993
436,000995.SZ,*ST皇台,主板,000995
437,000996.SZ,*ST中期,主板,000996
438,000997.SZ,新大陆,主板,000997
439,000998.SZ,隆平高科,主板,000998
440,000999.SZ,华润三九,主板,000999
441,001201.SZ,东瑞股份,主板,001201
442,001202.SZ,炬申股份,主板,001202
443,001203.SZ,大中矿业,主板,001203
444,001205.SZ,盛航股份,主板,001205
445,001206.SZ,依依股份,主板,001206
446,001207.SZ,联科科技,主板,001207
447,001208.SZ,华菱线缆,主板,001208
448,001209.SZ,洪兴股份,主板,001209
449,001210.SZ,金房能源,主板,001210
450,001211.SZ,双枪科技,主板,001211
451,001212.SZ,中旗新材,主板,001212
452,001213.SZ,中铁特货,主板,001213
453,001215.SZ,千味央厨,主板,001215
454,001216.SZ,华瓷股份,主板,001216
455,001217.SZ,华尔泰,主板,001217
456,001218.SZ,丽臣实业,主板,001218
457,001219.SZ,青岛食品,主板,001219
458,001222.SZ,源飞宠物,主板,001222
459,001223.SZ,欧克科技,主板,001223
460,001225.SZ,和泰机电,主板,001225
461,001226.SZ,拓山重工,主板,001226
462,001227.SZ,兰州银行,主板,001227
463,001228.SZ,永泰运,主板,001228
464,001229.SZ,魅视科技,主板,001229
465,001230.SZ,劲旅环境,主板,001230
466,001231.SZ,农心科技,主板,001231
467,001234.SZ,泰慕士,主板,001234
468,001236.SZ,弘业期货,主板,001236
469,001238.SZ,浙江正特,主板,001238
470,001255.SZ,博菲电气,主板,001255
471,001256.SZ,炜冈科技,主板,001256
472,001258.SZ,立新能源,主板,001258
473,001259.SZ,利仁科技,主板,001259
474,001260.SZ,坤泰股份,主板,001260
475,001266.SZ,宏英智能,主板,001266
476,001267.SZ,汇绿生态,主板,001267
477,001268.SZ,联合精密,主板,001268
478,001269.SZ,欧晶科技,主板,001269
479,001270.SZ,铖昌科技,主板,001270
480,001278.SZ,一彬科技,主板,001278
481,001282.SZ,三联锻造,主板,001282
482,001283.SZ,豪鹏科技,主板,001283
483,001286.SZ,陕西能源,主板,001286
484,001287.SZ,中电港,主板,001287
485,001288.SZ,运机集团,主板,001288
486,001289.SZ,龙源电力,主板,001289
487,001296.SZ,长江材料,主板,001296
488,001298.SZ,好上好,主板,001298
489,001299.SZ,美能能源,主板,001299
490,001300.SZ,三柏硕,主板,001300
491,001301.SZ,尚太科技,主板,001301
492,001308.SZ,康冠科技,主板,001308
493,001309.SZ,德明利,主板,001309
494,001311.SZ,多利科技,主板,001311
495,001313.SZ,粤海饲料,主板,001313
496,001314.SZ,亿道信息,主板,001314
497,001316.SZ,润贝航科,主板,001316
498,001317.SZ,三羊马,主板,001317
499,001318.SZ,阳光乳业,主板,001318
500,001319.SZ,铭科精技,主板,001319
501,001322.SZ,箭牌家居,主板,001322
502,001323.SZ,慕思股份,主板,001323
503,001324.SZ,长青科技,主板,001324
504,001328.SZ,登康口腔,主板,001328
505,001330.SZ,博纳影业,主板,001330
506,001331.SZ,胜通能源,主板,001331
507,001332.SZ,锡装股份,主板,001332
508,001333.SZ,光华股份,主板,001333
509,001336.SZ,楚环科技,主板,001336
510,001337.SZ,四川黄金,主板,001337
511,001338.SZ,永顺泰,主板,001338
512,001339.SZ,智微智能,主板,001339
513,001360.SZ,南矿集团,主板,001360
514,001366.SZ,播恩集团,主板,001366
515,001367.SZ,海森药业,主板,001367
516,001368.SZ,通达创智,主板,001368
517,001373.SZ,翔腾新材,主板,001373
518,001380.SZ,华纬科技,主板,001380
519,001696.SZ,宗申动力,主板,001696
520,001872.SZ,招商港口,主板,001872
521,001896.SZ,豫能控股,主板,001896
522,001914.SZ,招商积余,主板,001914
523,001965.SZ,招商公路,主板,001965
524,001979.SZ,招商蛇口,主板,001979
525,002001.SZ,新和成,主板,002001
526,002002.SZ,鸿达兴业,主板,002002
527,002003.SZ,伟星股份,主板,002003
528,002004.SZ,华邦健康,主板,002004
529,002005.SZ,ST德豪,主板,002005
530,002006.SZ,精工科技,主板,002006
531,002007.SZ,华兰生物,主板,002007
532,002008.SZ,大族激光,主板,002008
533,002009.SZ,天奇股份,主板,002009
534,002010.SZ,传化智联,主板,002010
535,002011.SZ,盾安环境,主板,002011
536,002012.SZ,凯恩股份,主板,002012
537,002014.SZ,永新股份,主板,002014
538,002015.SZ,协鑫能科,主板,002015
539,002016.SZ,世荣兆业,主板,002016
540,002017.SZ,东信和平,主板,002017
541,002019.SZ,亿帆医药,主板,002019
542,002020.SZ,京新药业,主板,002020
543,002021.SZ,*ST中捷,主板,002021
544,002022.SZ,科华生物,主板,002022
545,002023.SZ,海特高新,主板,002023
546,002024.SZ,ST易购,主板,002024
547,002025.SZ,航天电器,主板,002025
548,002026.SZ,山东威达,主板,002026
549,002027.SZ,分众传媒,主板,002027
550,002028.SZ,思源电气,主板,002028
551,002029.SZ,七匹狼,主板,002029
552,002030.SZ,达安基因,主板,002030
553,002031.SZ,巨轮智能,主板,002031
554,002032.SZ,苏泊尔,主板,002032
555,002033.SZ,丽江股份,主板,002033
556,002034.SZ,旺能环境,主板,002034
557,002035.SZ,华帝股份,主板,002035
558,002036.SZ,联创电子,主板,002036
559,002037.SZ,保利联合,主板,002037
560,002038.SZ,双鹭药业,主板,002038
561,002039.SZ,黔源电力,主板,002039
562,002040.SZ,南京港,主板,002040
563,002041.SZ,登海种业,主板,002041
564,002042.SZ,华孚时尚,主板,002042
565,002043.SZ,兔宝宝,主板,002043
566,002044.SZ,美年健康,主板,002044
567,002045.SZ,国光电器,主板,002045
568,002046.SZ,国机精工,主板,002046
569,002047.SZ,宝鹰股份,主板,002047
570,002048.SZ,宁波华翔,主板,002048
571,002049.SZ,紫光国微,主板,002049
572,002050.SZ,三花智控,主板,002050
573,002051.SZ,中工国际,主板,002051
574,002052.SZ,ST同洲,主板,002052
575,002053.SZ,云南能投,主板,002053
576,002054.SZ,德美化工,主板,002054
577,002055.SZ,得润电子,主板,002055
578,002056.SZ,横店东磁,主板,002056
579,002057.SZ,中钢天源,主板,002057
580,002058.SZ,威尔泰,主板,002058
581,002059.SZ,云南旅游,主板,002059
582,002060.SZ,粤水电,主板,002060
583,002061.SZ,浙江交科,主板,002061
584,002062.SZ,宏润建设,主板,002062
585,002063.SZ,远光软件,主板,002063
586,002064.SZ,华峰化学,主板,002064
587,002065.SZ,东华软件,主板,002065
588,002066.SZ,瑞泰科技,主板,002066
589,002067.SZ,景兴纸业,主板,002067
590,002068.SZ,黑猫股份,主板,002068
591,002069.SZ,獐子岛,主板,002069
592,002072.SZ,凯瑞德,主板,002072
593,002073.SZ,软控股份,主板,002073
594,002074.SZ,国轩高科,主板,002074
595,002075.SZ,沙钢股份,主板,002075
596,002076.SZ,星光股份,主板,002076
597,002077.SZ,大港股份,主板,002077
598,002078.SZ,太阳纸业,主板,002078
599,002079.SZ,苏州固锝,主板,002079
600,002080.SZ,中材科技,主板,002080
601,002081.SZ,金螳螂,主板,002081
602,002082.SZ,万邦德,主板,002082
603,002083.SZ,孚日股份,主板,002083
604,002084.SZ,海鸥住工,主板,002084
605,002085.SZ,万丰奥威,主板,002085
606,002086.SZ,*ST东洋,主板,002086
607,002087.SZ,*ST新纺,主板,002087
608,002088.SZ,鲁阳节能,主板,002088
609,002089.SZ,*ST新海,主板,002089
610,002090.SZ,金智科技,主板,002090
611,002091.SZ,江苏国泰,主板,002091
612,002092.SZ,中泰化学,主板,002092
613,002093.SZ,国脉科技,主板,002093
614,002094.SZ,青岛金王,主板,002094
615,002095.SZ,生意宝,主板,002095
616,002096.SZ,南岭民爆,主板,002096
617,002097.SZ,山河智能,主板,002097
618,002098.SZ,浔兴股份,主板,002098
619,002099.SZ,海翔药业,主板,002099
620,002100.SZ,天康生物,主板,002100
621,002101.SZ,广东鸿图,主板,002101
622,002102.SZ,冠福股份,主板,002102
623,002103.SZ,广博股份,主板,002103
624,002104.SZ,恒宝股份,主板,002104
625,002105.SZ,信隆健康,主板,002105
626,002106.SZ,莱宝高科,主板,002106
627,002107.SZ,沃华医药,主板,002107
628,002108.SZ,沧州明珠,主板,002108
629,002109.SZ,兴化股份,主板,002109
630,002110.SZ,三钢闽光,主板,002110
631,002111.SZ,威海广泰,主板,002111
632,002112.SZ,三变科技,主板,002112
633,002113.SZ,*ST天润,主板,002113
634,002114.SZ,罗平锌电,主板,002114
635,002115.SZ,三维通信,主板,002115
636,002116.SZ,中国海诚,主板,002116
637,002117.SZ,东港股份,主板,002117
638,002118.SZ,*ST紫鑫,主板,002118
639,002119.SZ,康强电子,主板,002119
640,002120.SZ,韵达股份,主板,002120
641,002121.SZ,科陆电子,主板,002121
642,002122.SZ,汇洲智能,主板,002122
643,002123.SZ,梦网科技,主板,002123
644,002124.SZ,天邦食品,主板,002124
645,002125.SZ,湘潭电化,主板,002125
646,002126.SZ,银轮股份,主板,002126
647,002127.SZ,南极电商,主板,002127
648,002128.SZ,电投能源,主板,002128
649,002129.SZ,TCL中环,主板,002129
650,002130.SZ,沃尔核材,主板,002130
651,002131.SZ,利欧股份,主板,002131
652,002132.SZ,恒星科技,主板,002132
